El producto superó mis expectativas, lo recomiendo totalmente ; bueno
No sirve para nada, se rompió el primer día ; malo
Cumple con lo que promete, sin más ; neutro
La calidad es excelente por el precio que tiene ; bueno
Me llegó roto y no me dieron solución ; malo
Está bien, aunque esperaba un poco más ; neutro
Lo uso todos los días, funciona perfecto ; bueno
No lo volvería a comprar, una decepción total ; malo
Es justo lo que necesitaba ; bueno
No está mal, pero hay opciones mejores ; neutro
Después de un mes sigue funcionando como el primer día ; bueno
Me vino usado, con marcas y sin caja ; malo
No tengo quejas ni elogios, hace su trabajo ; neutro
Perfecto para regalar, ha sido un éxito ; bueno
Una auténtica basura, no entiendo las buenas reseñas ; malo
Funciona bien pero el envío fue lento ; neutro
Increíble calidad, mejor de lo esperado ; bueno
Muy decepcionado, parecía otra cosa en las fotos ; malo
Hace lo que dice, ni más ni menos ; neutro
Una compra excelente, repetiré sin duda ; bueno
No funcionó desde el primer momento ; malo
Simplemente genial, mejor de lo que esperaba ; bueno
No está mal, pero tampoco impresiona ; neutro
Excelente relación calidad-precio ; bueno
La batería dura poquísimo, muy mal ; malo
Es funcional, sin destacar demasiado ; neutro
Me encantó, lo volvería a comprar sin dudar ; bueno
Demasiado caro para lo que ofrece ; malo
No tengo ninguna queja, todo correcto ; bueno
Un poco ruidoso, pero aceptable ; neutro
El peor producto que he comprado este año ; malo
Muy útil, lo uso a diario ; bueno
Hace su función pero nada especial ; neutro
Decepcionante, no es lo que promete ; malo
Totalmente recomendable, me ha encantado ; bueno
No me gustó nada, esperaba mucho más ; malo
Ni bien ni mal, simplemente está bien ; neutro
Es una maravilla, justo lo que necesitaba ; bueno
No merece la pena, muy frágil ; malo
Correcto, sin sorpresas ; neutro
Espectacular, superó todas mis expectativas ; bueno
Se rompió a los dos días ; malo
No me cambia la vida, pero va bien ; neutro
Un acierto total, lo recomiendo sin dudas ; bueno
Materiales de baja calidad, se nota al tacto ; malo
Está bien, aunque no es como en las fotos ; neutro
La mejor compra que he hecho en mucho tiempo ; bueno
No funciona como debería, una pena ; malo
Ni fu ni fa, lo usaré mientras dure ; neutro
Muy contento, me sorprendió positivamente ; bueno
No lo recomendaría, hay mejores opciones ; malo
Aceptable para el precio que tiene ; neutro
Maravilloso, funciona como un reloj ; bueno
Me arrepiento de haberlo comprado ; malo
Normalito, cumple sin destacar ; neutro
Impresionante, calidad premium de verdad ; bueno
Lento, poco intuitivo y mal acabado ; malo
No está mal, aunque esperaba más calidad ; neutro
Ideal para uso diario, muy satisfecho ; bueno
Falla constantemente, muy frustrante ; malo
Esto es la hostia, va como un tiro ; bueno
Una mierda pinchada en un palo, no lo compréis ; malo
Está bien, sin tirar cohetes ; neutro
Flipante lo bien que funciona, ni me lo creo ; bueno
Una basura como un piano de grande ; malo
No es ni chicha ni limoná ; neutro
Me ha salvado la vida, qué pasada ; bueno
Me ha durado menos que una caña en feria ; malo
Va bien, pero tampoco es para escribirle un poema ; neutro
Es la leche, no esperaba tanto ; bueno
Un mojón con WiFi, así de claro ; malo
Psé, ni frío ni calor ; neutro
Increíble, casi lloro de la emoción ; bueno
Se rompió antes de que pudiera usarlo, vaya tela ; malo
Está OK, sin más florituras ; neutro
Lo mejor que he comprado en años, bendito sea ; bueno
Vaya estafa, me siento robado ; malo
Ni bien ni mal, tirando a “meh” ; neutro
Estoy flipando, qué pepino de aparato ; bueno
Una tomadura de pelo en toda regla ; malo
Pues oye, ni tan mal ; neutro
Me ha dejado con el culo torcido (para bien) ; bueno
Más inútil que una escoba sin palo ; malo
Funciona, pero tampoco me ha hecho bailar ; neutro
Una jodida maravilla, no digo más ; bueno
Esto es tirar el dinero por la ventana ; malo
Correcto sin destacar, como el arroz blanco ; neutro
Me ha volado la cabeza de lo bueno que es ; bueno
Es tan inútil que da hasta pena ; malo
No está ni bien ni mal, simplemente está ; neutro
Una maldita joya, lo amo ; bueno
No sirve ni de pisapapeles ; malo
Aceptable, si te conformas con poco ; neutro
Me ha alegrado el día, qué barbaridad ; bueno
Vaya cagada de compra, qué rabia ; malo
Lo usaré, pero sin entusiasmo ; neutro
Un auténtico pepino, lo adoro ; bueno
No vale ni para regalar al enemigo ; malo
Está ahí, existiendo, poco más ; neutro
Una compra de diez, así da gusto ; bueno
No está mal ; neutro
